                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.97333,                0.76227,                 1.0404,                0.90316,                0.94682,                0.96106,                0.72954,                0.88119,                0.46036,                 1.0003,             4.7286e-05,             4.7286e-05,             4.7286e-05
                    132,                0.97114,                0.75787,                 1.0373,                0.90455,                0.94142,                0.96138,                0.72875,                0.88028,                0.45965,                0.99942,             4.5088e-05,             4.5088e-05,             4.5088e-05
                    133,                0.96606,                0.75925,                 1.0377,                0.90426,                0.94537,                0.96146,                0.72879,                0.87944,                0.45955,                0.99838,              4.289e-05,              4.289e-05,              4.289e-05
                    134,                 0.9654,                0.75167,                 1.0363,                0.93023,                0.91623,                0.96206,                0.72781,                0.87864,                0.45885,                0.99863,             4.0693e-05,             4.0693e-05,             4.0693e-05
                    135,                0.96211,                0.74722,                 1.0336,                0.92586,                0.92103,                0.96215,                0.72592,                0.88003,                0.45921,                 0.9992,             3.8495e-05,             3.8495e-05,             3.8495e-05
                    136,                0.97006,                0.75474,                 1.0363,                0.92476,                0.91959,                0.96142,                0.72625,                0.87945,                0.45839,                0.99933,             3.6297e-05,             3.6297e-05,             3.6297e-05
                    137,                0.96674,                0.75128,                 1.0358,                0.91991,                0.92684,                0.96212,                0.72798,                0.87817,                0.45767,                0.99916,             3.4099e-05,             3.4099e-05,             3.4099e-05
                    138,                0.96137,                0.74532,                 1.0306,                 0.9077,                0.93844,                0.96217,                0.72991,                0.87775,                0.45765,                0.99886,             3.1901e-05,             3.1901e-05,             3.1901e-05
                    139,                 0.9597,                0.74742,                 1.0305,                0.91396,                0.92942,                0.96266,                0.72936,                 0.8779,                0.45793,                0.99852,             2.9704e-05,             2.9704e-05,             2.9704e-05
                    140,                0.96783,                 0.7562,                 1.0342,                0.91172,                0.93111,                0.96139,                0.72952,                0.87753,                0.45756,                0.99832,             2.7506e-05,             2.7506e-05,             2.7506e-05
                    141,                0.92013,                 0.6552,                  1.037,                0.89091,                0.95544,                0.96124,                0.73105,                0.87813,                0.46148,                0.99798,             2.5308e-05,             2.5308e-05,             2.5308e-05
                    142,                0.91421,                0.65002,                 1.0361,                0.90677,                0.94471,                0.96236,                0.73064,                0.87833,                0.46025,                 0.9978,              2.311e-05,              2.311e-05,              2.311e-05
                    143,                0.91069,                0.64787,                 1.0389,                0.91006,                0.93748,                0.96275,                 0.7298,                0.87831,                0.45965,                 0.9973,             2.0912e-05,             2.0912e-05,             2.0912e-05
                    144,                0.91071,                0.64836,                 1.0338,                0.90449,                0.94322,                0.96288,                0.73095,                 0.8778,                0.45901,                0.99721,             1.8715e-05,             1.8715e-05,             1.8715e-05
                    145,                0.90481,                0.63887,                 1.0302,                0.91167,                0.93541,                0.96251,                  0.732,                0.87565,                0.45723,                0.99593,             1.6517e-05,             1.6517e-05,             1.6517e-05
